# time, MeanKE, MeanKEDR, MeanP, MeanFKEDR
7.67600392E+00 1.01137229847119592E-01 8.92623960434272244E-03 1.47148729015400853E-01 6.08689623260792994E-03
7.68237803E+00 1.01076020203548986E-01 8.94428251610089771E-03 1.47539288962928450E-01 6.09632419180307274E-03
7.68875851E+00 1.01014631747202183E-01 8.96223771037250698E-03 1.47929535884787966E-01 6.10569411369206536E-03
7.69514847E+00 1.00953033980920079E-01 8.98012968471196583E-03 1.48319618547005094E-01 6.11500774050182262E-03
7.70155086E+00 1.00891197219467696E-01 8.99798242200116304E-03 1.48709679729189831E-01 6.12426651443347125E-03
7.70795928E+00 1.00829182358478417E-01 9.01579354484690655E-03 1.49099390970855006E-01 6.13345838055206431E-03
7.71435598E+00 1.00767160697714547E-01 9.03352905027941626E-03 1.49487666847937101E-01 6.14255564208551763E-03
7.72074781E+00 1.00705065392559870E-01 9.05122236651033016E-03 1.49874549324174655E-01 6.15156610636397299E-03
7.72714146E+00 1.00642830891514698E-01 9.06890482026656911E-03 1.50260707305253122E-01 6.16049704886815434E-03
7.73353682E+00 1.00580456844864802E-01 9.08658761139912244E-03 1.50646063912950101E-01 6.16934624318287404E-03
7.73991405E+00 1.00518136510689901E-01 9.10422588280281747E-03 1.51029574317724707E-01 6.17808466695430724E-03
7.74626554E+00 1.00455944494407035E-01 9.12180717249877308E-03 1.51410387858019080E-01 6.18670111098169016E-03
7.75259942E+00 1.00393801366822605E-01 9.13936085528504506E-03 1.51788996961112005E-01 6.19520596447644539E-03
7.75892376E+00 1.00331627597918735E-01 9.15691450927995018E-03 1.52165953510780133E-01 6.20360924665218014E-03
7.76524658E+00 1.00269343325732674E-01 9.17449411781468167E-03 1.52541660196786083E-01 6.21192065108786690E-03
7.77157593E+00 1.00206867929988674E-01 9.19212431098095049E-03 1.52916560047677258E-01 6.22014960390599326E-03
7.77791992E+00 1.00144119431879342E-01 9.20982866154269365E-03 1.53291077130215947E-01 6.22830533186459739E-03
7.78428682E+00 1.00081013742663594E-01 9.22763005045572349E-03 1.53665647615345541E-01 6.23639693685811708E-03
7.79068510E+00 1.00017463776540999E-01 9.24555108626721675E-03 1.54040710804675907E-01 6.24443347492857105E-03
7.79710343E+00 9.99535795400397636E-02 9.26355807286904399E-03 1.54415806017294405E-01 6.25239919892916444E-03
7.80353540E+00 9.98894226666809659E-02 9.28163047740724473E-03 1.54790166102508869E-01 6.26028523140658572E-03
7.80997664E+00 9.98250351843163880E-02 9.29975289219906950E-03 1.55163641594231294E-01 6.26808563654002778E-03
7.81640268E+00 9.97606611207547539E-02 9.31785315492920062E-03 1.55535006075057630E-01 6.27577102072921118E-03
7.82281874E+00 9.96962481652789306E-02 9.33594259547275256E-03 1.55903849506793507E-01 6.28334836084481867E-03
7.82923040E+00 9.96317398504940471E-02 9.35403380389735958E-03 1.56271007970341907E-01 6.29082475857950865E-03
7.83564361E+00 9.95670755374832156E-02 9.37214094513279423E-03 1.56636566101421210E-01 6.29820741144070193E-03
7.84205800E+00 9.95022579452809058E-02 9.39026117694504413E-03 1.57000666356177376E-01 6.30549606160955151E-03
7.84846571E+00 9.94373657472396033E-02 9.40837143530790475E-03 1.57362787091004902E-01 6.31268217092414291E-03
7.85484990E+00 9.93725701466790234E-02 9.42642398957581860E-03 1.57722032094867820E-01 6.31974777596873080E-03
7.86121719E+00 9.93078046309225221E-02 9.44443786373481628E-03 1.58078272103100770E-01 6.32670131472480319E-03
7.86757459E+00 9.92429981972624414E-02 9.46243324121515648E-03 1.58432313118366863E-01 6.33355114416799588E-03
7.87392941E+00 9.91780760444241488E-02 9.48043124044196939E-03 1.58784343757753715E-01 6.34030543507071651E-03
7.88028923E+00 9.91129602575333002E-02 9.49845378296253380E-03 1.59134824610935505E-01 6.34697205789223722E-03
7.88666177E+00 9.90475704933938550E-02 9.51652351189827966E-03 1.59484082455065929E-01 6.35355846159279744E-03
7.89303375E+00 9.89820425031046752E-02 9.53460401611117524E-03 1.59831676402723583E-01 6.36005022607490610E-03
7.89938750E+00 9.89165585946249204E-02 9.55264720887138812E-03 1.60176294047610274E-01 6.36642918501177223E-03
7.90573093E+00 9.88510379486272350E-02 9.57067818653244314E-03 1.60518037008540587E-01 6.37270303933153929E-03
7.91207220E+00 9.87853964986011579E-02 9.58872346477062862E-03 1.60857729529395810E-01 6.37887890574781544E-03
7.91841757E+00 9.87195691982652446E-02 9.60680530563901881E-03 1.61195565895919102E-01 6.38496125872188482E-03
7.92477109E+00 9.86535132537846304E-02 9.62494126849637935E-03 1.61531818340117789E-01 6.39095180853331644E-03
7.93113240E+00 9.85872316157291734E-02 9.64313805917860895E-03 1.61866452302296876E-01 6.39684765256178563E-03
7.93747431E+00 9.85210082365517437E-02 9.66132722813040773E-03 1.62198413558893223E-01 6.40262151465112971E-03
7.94380527E+00 9.84547558180158822E-02 9.67954310979376314E-03 1.62527072558155100E-01 6.40827930619569750E-03
7.95013350E+00 9.83883885686570731E-02 9.69781960282164318E-03 1.62853719574207523E-01 6.41382608358392978E-03
7.95646698E+00 9.83218227966704827E-02 9.71618930916135284E-03 1.63178345545045844E-01 6.41926613263498879E-03
7.96281337E+00 9.82549772703399521E-02 9.73468264803743939E-03 1.63501505372778771E-01 6.42460305866148114E-03
7.96918004E+00 9.81877733821429899E-02 9.75332705590839164E-03 1.63823409469752768E-01 6.42983988016756439E-03
7.97556026E+00 9.81202814141766966E-02 9.77210583432685555E-03 1.64143984609990301E-01 6.43496820039175365E-03
7.98192916E+00 9.80527654835962048E-02 9.79094491947803472E-03 1.64461950086999237E-01 6.43996649978770958E-03
7.98829558E+00 9.79851331679966187E-02 9.80986571830308116E-03 1.64776812061149802E-01 6.44484109490330026E-03
7.99466814E+00 9.79172937944114696E-02 9.82888568309176272E-03 1.65089858050443461E-01 6.44959792499983590E-03
