#  time, MeanKE MeanKEDR MeanP MeanNuT MeanLesProduction MeanStrainRate
5.00010180E+00 1.15195711555918817E-01 6.42312895911593355E-03 3.91899291800362898E-02 2.56120847869464939E-04 3.41578182162947551E-03 1.18848974564261245E+00
5.01431330E+00 1.15099395165231821E-01 6.45521299708189545E-03 3.94344524656450590E-02 2.57217800236896131E-04 3.43366992300622297E-03 1.19144160631807439E+00
5.02857763E+00 1.15002192140521500E-01 6.48680165436170148E-03 3.97070777429325700E-02 2.58317898930299325E-04 3.45121249737291580E-03 1.19439001382635990E+00
5.04289920E+00 1.14904078097949669E-01 6.51788484137108895E-03 4.00073543691957037E-02 2.59418592719590181E-04 3.46840056123279240E-03 1.19733456901714952E+00
5.05728264E+00 1.14805027786280295E-01 6.54845227973827829E-03 4.03348042206178176E-02 2.60517739481490730E-04 3.48522457069938736E-03 1.20027497458332943E+00
5.07173280E+00 1.14705014872480693E-01 6.57850039316924904E-03 4.06889297313374476E-02 2.61614414299577520E-04 3.50168125667467151E-03 1.20321104630217013E+00
5.08625477E+00 1.14604011601491071E-01 6.60802150759804297E-03 4.10692171628260425E-02 2.62707520009132966E-04 3.51776279093365778E-03 1.20614276264846487E+00
5.10085388E+00 1.14501988597459609E-01 6.63700099302587474E-03 4.14751444154998206E-02 2.63797327376180440E-04 3.53345383989012900E-03 1.20907027508875786E+00
5.11553573E+00 1.14398914714073582E-01 6.66541332800516060E-03 4.19061910432010562E-02 2.64884266284353949E-04 3.54872747960066496E-03 1.21199386197007408E+00
5.13028108E+00 1.14294933779347643E-01 6.69321031505989376E-03 4.23611025492141580E-02 2.65969146354807248E-04 3.56355514941757243E-03 1.21491389532882277E+00
5.14504186E+00 1.14190396292135427E-01 6.72030459831237000E-03 4.28375618966382876E-02 2.67049555222526535E-04 3.57789175584794167E-03 1.21782597988331553E+00
5.15982551E+00 1.14085262491940231E-01 6.74669571595078957E-03 4.33347576515768357E-02 2.68123897623502702E-04 3.59172843583202778E-03 1.22072045246743799E+00
5.17463927E+00 1.13979493035152424E-01 6.77238786570562041E-03 4.38519840489058413E-02 2.69189644942291115E-04 3.60506061588449379E-03 1.22359894747445397E+00
5.18948914E+00 1.13873056507675985E-01 6.79743934064961589E-03 4.43885891416707853E-02 2.70247488908366851E-04 3.61793834380855304E-03 1.22646306479079814E+00
5.20437836E+00 1.13765939703746460E-01 6.82189452264429005E-03 4.49438820608090220E-02 2.71296349404286509E-04 3.63039958224668172E-03 1.22931399250785489E+00
5.21931312E+00 1.13658106591018576E-01 6.84580761544464986E-03 4.55173226429816738E-02 2.72340102751557356E-04 3.64248934762093383E-03 1.23215226141560641E+00
5.23425417E+00 1.13549848450164484E-01 6.86913857474205202E-03 4.61066741714901696E-02 2.73373939288984631E-04 3.65419340724550731E-03 1.23497895809187153E+00
5.24917812E+00 1.13441343640603973E-01 6.89187963208458699E-03 4.67101719005726876E-02 2.74398887292196772E-04 3.66551512975872009E-03 1.23778660271955432E+00
5.26409099E+00 1.13332557028683681E-01 6.91407207813709863E-03 4.73272044028712410E-02 2.75415565982127476E-04 3.67648326796466036E-03 1.24057080559699395E+00
5.27899847E+00 1.13223454013526695E-01 6.93579702492077167E-03 4.79572664036529497E-02 2.76425879121562233E-04 3.68716648729336101E-03 1.24333269198090313E+00
5.29390595E+00 1.13114000205268975E-01 6.95714626390771945E-03 4.85999263311814034E-02 2.77432107518588308E-04 3.69764438079032108E-03 1.24607336699001747E+00
5.30881853E+00 1.13004161264196587E-01 6.97815813130928282E-03 4.92548128787838393E-02 2.78432563531917318E-04 3.70794347022617137E-03 1.24879392163309899E+00
5.32374102E+00 1.12893903797004605E-01 6.99888277217626531E-03 4.99216192916205892E-02 2.79427652655188255E-04 3.71810235107182053E-03 1.25149539452985725E+00
5.33867797E+00 1.12783195559137489E-01 7.01939322504743519E-03 5.06000861699647114E-02 2.80421074891167043E-04 3.72818283061726857E-03 1.25417877165891434E+00
5.35363368E+00 1.12672005016119778E-01 7.03972657757834415E-03 5.12899913843114022E-02 2.81411007995694513E-04 3.73821129270007768E-03 1.25684491041631508E+00
5.36861220E+00 1.12560301837187099E-01 7.05988895496917606E-03 5.19911518976019782E-02 2.82397215092461840E-04 3.74818369326726996E-03 1.25949443506194947E+00
5.38361736E+00 1.12448057368005797E-01 7.07984663428220650E-03 5.27034237997487387E-02 2.83376808881332038E-04 3.75805653681496668E-03 1.26212776543813066E+00
5.39865275E+00 1.12335245525960192E-01 7.09962946530275692E-03 5.34266964403203939E-02 2.84351175931004752E-04 3.76785008852222915E-03 1.26474529344452291E+00
5.41372176E+00 1.12221842272161046E-01 7.11930176784509542E-03 5.41608702848164481E-02 2.85324647146144555E-04 3.77761948584647098E-03 1.26734753752481555E+00
5.42882757E+00 1.12107825021413282E-01 7.13888829660713244E-03 5.49058665182484071E-02 2.86295445776372191E-04 3.78738094212551554E-03 1.26993509618780820E+00
5.44397314E+00 1.11993173079426758E-01 7.15837636670145234E-03 5.56616295056397634E-02 2.87262605590339528E-04 3.79711385687334785E-03 1.27250857584179267E+00
5.45916125E+00 1.11877868152977122E-01 7.17775558305615378E-03 5.64281144742490026E-02 2.88224455871797895E-04 3.80680034796648543E-03 1.27506859441820830E+00
5.47439447E+00 1.11761894472712314E-01 7.19701237092601736E-03 5.72052854837089009E-02 2.89179520635373386E-04 3.81641972937514767E-03 1.27761575354230872E+00
5.48967520E+00 1.11645238719197598E-01 7.21607646891357472E-03 5.79930955835673070E-02 2.90126068195236601E-04 3.82589497829238616E-03 1.28015053851216187E+00
